grant_id,title,abstract,agency,stratum,human_parent_label
1008724,Chemical Vapor Deposition Fabrication of Nano- and Micro-scale Biomimetic Surfaces,"The objective of this proposed research is to develop an intestinal cell culture substrate to improve the accuracy of in vitro drug transport studies and provide a scaffold for intestinal tissue regeneration. A culture substrate that exactly mimics the natural topography of intestinal basement membrane will be developed, providing essential developmental cues to cells cultured in vitro. Chemical vapor deposition (CVD) will be used to create a silica template of intestinal basement membrane that exactly mimics the native nano- and micro-topography. CVD will be used to caoat the silica mold with a porous biocompatible polymer such as poly(2-hydroxyethyl methacrylate) (pHEMA). This polymer substrate will be separated from the silica mold and used for cell culture. SEM will be used to characterize the silica and pHEMA topology and compare it to native issue. The influence of the topography of the developed device on enterocyte cell phenotype and transport properties will be compared with cells cultured on non-topographically modified surfaces via a variety of assays.This work will result in the development of a cell-based tool for studying transport across the intestinal epithelium, leading to cost and time savings in drug studies, as well as a fundamental understanding of cell-biomaterial interactions and native intestinal function in normal and disease (e.g. colon cancer) states. If successful, this research will significantly reduce the time and development costs for bringing pharmaceuticals to market, as well as make serious contributions to the treatment of numerous intestinal illnesses, including short bowel syndrome, Crohn's disease, and colon cancer. It offers a greatly improved approach to current cell culture techniques through the creation of culture substrates that exactly mimic important features found in vivo, and provides basic scientific insight into the influence of nano- and micro-topography on enterocyte phenotype.",National Science Foundation,NSF|abstract|assigned,Biomedical Sciences
1028812,Collaborative research: ABI Development: Making Advanced Statistical Tools Accessible for Quantitative Research Synthesis and Discovery in Ecology and Evolutionary Biology,"An award is made to build an easy-to-use program for carrying out and teaching meta-analysis in in the fields of ecology and evolution (E&E), by adapting and developing an existing medical meta-analysis program for the unique needs of the scientific community in these fields. Meta-analysis is the quantitative synthesis of independent studies. It has become an important approach for summarizing research results and generalizing from their findings in E&E, as it has in medicine and the social sciences. There is a compelling need for new statistical software for meta-analysis in E&E employing current, cutting edge methodology. Making these statistical tools widely available is highly likely to propel new scientific advances and insights, as did the first generation of meta-analysis software in E&E. This new software, called OpenMeta for Ecology and Evolution (OpenMEE), will be open-source and cross-platform program, will facilitate implementation of statistical methods appropriate for meta-analysis of ecological and evolutionary data, and will include a user interface specifically designed for the unique challenges and conventions of research synthesis in these fields. Then intuitive graphical user interface (GUI) will seamlessly integrate with analytic routines written in the popular open-source statistical programming language R. Novice users will thus be able to take advantage of such routines to carry out sophisticated meta-analyses without needing to know advanced programming. Furthermore, OpenMEE is designed so that those users who are competent programmers can incorporate new statistical developments in a straightforward manner, allowing OpenMEE to be developed and updated indefinitely by the user community. OpenMEE will be introduced with cutting edge statistical developments for meta-analysis in E&E, including complex meta-regression models and phylogenetic analyses. Putting much more powerful tools for quantitative research synthesis into the hands of scientists in E&E will have dramatic effects on research progress in these fields.  The scientists working on this project have a solid record of successfully mentoring high school students, undergraduates, graduate students, and postdoctoral fellows, including those belonging to underrepresented groups, and will continue to work actively to recruit and train people at all of these levels. OpenMEE will be disseminated in workshops and short courses, as well as electronically. In recruiting participants for these courses, the researchers will work to identify and attract graduate students and postdoctoral researchers from underrepresented groups as well as others. they will be able to structure the fees for the courses so as to be able to offer travel fellowships for students lacking support to attend the courses. Finally, underrepresented minority students and others will be recruited for research experience through the NSF&#8208.funded Center for Science and Mathematics Education at Stony Brook University, and by recruiting from the rich resource of the high underrepresented student population at University of South Florida. More information about this project may be found at: http://www.cebm.brown.edu/OpenMEE.",National Science Foundation,NSF|abstract|noise,Environmental Science & Ecology
1035009,EFRI 2-DARE: Two-dimensional nanopores with electro-optical control for next generation biotechnological applications,"Two-dimensional nanopores can be used to sequence DNA molecules by recording the variations in ionic current and photon emission as the molecules thread through the nanopore. The electronic and optical properties of nanopores in sub-nanometer thick films will be investigated with the goals to understand the nanopore interaction with nanometer-sized biological materials, such as DNA, proteins, and viruses, as well as non-biological materials, such as nanoparticles and nanorod-shaped metals. Using a combination of techniques, the nanopore size and composition will be specifically tuned to optimize sensitivity to a particular analyte. Ultrathin pores in freestanding two-dimensional atomically thin membranes are expected to yield optimal optical and electrical signals that will fingerprint specific nanoparticles as they move through the nanopore. The proposed research will advance knowledge and understanding across different fields and contribute to a number of National Academy of Engineering Grand Challenges, including Engineering the Tools of Scientific Discovery, and Engineering Better Medicines and Advance Health Informatics.  Societal impacts include improvement of underrepresented student retention in engineering and science, exposure of K-12 students to state-of-the-art techniques in engineering and science, promoting the participation of women in physics, and training students to make lifelong contributions to technology challenges at the interface of biology, materials science and physics.   Two-dimensional materials beyond graphene, such as transition metal dichalcogenides, possess exciting optical, catalytic, electronic and chemical properties. When these layers contain extended vacancies and form nanoscale nanopores, new and unprecedented physicochemical phenomena are expected. Compared to other solid state nanopores, the benefits of these novel two-dimensional materials in nanoparticle detection, filtration (separation) and analysis, include the potential for improved signal-to-noise ratio, operation at high bandwidths (i.e., sub-microsecond temporal resolution), and the prospect that nanopore perimeters can be bestowed with specific, and potentially reversible, edge/surface functionalities. For example, the optical activation and specific chemical functionalization of nanopores opens the possibility of enhanced control of the particle?s translocation rates. The project will target i) the controlled synthesis and characterization of nanopores in homo/heterostructures of two-dimensional materials, ii) the trapping, fragmentation and translocation of DNA, proteins, and bacteria at specific optical wavelengths and optical powers, iii) laser-induced nanopore activation to reversibly control translocation dynamics as well as the native nanopore fluorescence signal to monitor translocation events, iv) the fabrication of prototype translocation platforms for DNA, bioparticulate analysis, and nanoparticle quantification, and v) the elucidation of the trapping/translocation mechanisms for nanopores with designed edge functionalities.",National Science Foundation,NSF|abstract|noise,Biomedical Sciences
1037087,I-Corps: Networking Medical Implants Through Ultrasounds,"As of today, existing wireless medical implants are connected through radio frequency (RF) electromagnetic waves. RF-based solutions tend to almost blindly scale down traditional wireless technologies (e.g., Wi-Fi, Bluetooth, Zigbee) to the intra-body environment, with little or no attention to the peculiar characteristics and safety requirements of the human body. The human body is in fact composed up to 65% of water, a medium through which RF waves do not propagate well. In addition, the RF frequency spectrum is scarce and already crowded with many devices interfering with one another. Therefore, RF-based technologies raise serious concerns about potential interference from existing RF communication systems that can unintentionally undermine the reliability and security of the implantable network, and ultimately the safety of the patient. This team has developed the ultrasonic wideband (UsWB) technology, a networking platform that enables wireless communications through ultrasounds (i.e., acoustic waves at non-audible frequencies).Ultrasonic wireless communications and networking technology (i.e., based on acoustic waves at non-audible frequencies) is proven to have significant advantages with respect to radio-frequency (RF)-based solutions in the human body. Ultrasounds propagate better than RF waves in human tissues, leading to (i) lower energy consumption and (ii) reduced heating of tissues. Ultrasounds have also been long used for medical imaging and are proven to be safe. And, unlike RF waves, ultrasonic waves do not penetrate from outside-the-body to inside-the-body, and vice versa, at low transmission powers. Therefore, ultrasonic communication links are potentially more secure as they are less prone to unintentional or malicious interference. At this stage, the team has developed the first, non-integrated and non-implantable UsWB prototype that uses off-the-shelf high-frequency ultrasonic transducers to enable transmission and reception of ultrasonic waves, through media that emulate with high fidelity acoustic propagation in biological tissues, i.e., so-called ultrasonic phantoms.",National Science Foundation,NSF|abstract|noise,"Computing, Networking & Robotic Systems"
1088539,NetSE: Medium: Discovering Hyperbolic Metric Spaces Hidden beneath the Internet and Other Complex Networks,"The lack of predictive power over complex systems, either designed by humans or evolved by nature, is a foundational problem in contemporary science. The Internet offers a paradigmatic example:
nothing in its architecture and design explains its complex large-scale structure. Many complex networks in nature share this peculiar structural character of the Internet, but they also manifest phenomenal behavior: they efficiently route information without any observable routing communication protocol. Hence, the main objective of this project is to explore the relationship between the structure and communication function of complex networks.

An international team of researchers assembled for this project includes computer scientists from the Cooperative Association for Internet Data Analysis (CAIDA) at the University of California San Diego, and physicists from the University of Barcelona, Spain. The project includes theoretical modeling and computer simulations to discover if the Internet 30-year old interdomain topology has naturally evolved toward a structure for which nature has superior routing technology.

The intellectual merit of this project is in the utilization of this natural routing technology for infinitely scalable Internet routing with minimal communication overhead. If successful, this project will solve a long-standing theoretical problem of constructing a maximally efficient algorithm for routing in complex networks. These results may help to remove serious scaling limitations within the existing Internet routing architecture.

The broader impact is in improving our knowledge of the basic principles of organization, function, and evolution of large-scale complex networks, transforming research on how to model, predict, and control them. The elucidation of fundamental connections between network structure and function has far-reaching impact on the study of many complex systems, including search engines, recommender and reputation systems, terrorist network modeling, cancer and brain research, protein folding, and drug design.",National Science Foundation,NSF|abstract|assigned,"Computing, Networking & Robotic Systems"
1089431,Admin Core,"The long-term goal of the Program Project is to develop a platform for the discovery of natural 
product antimicrobials, and to provide leads for drug development. This platform will resolve the 
current bottleneck in antimicrobial discovery – lack of good lead compounds. Three PIs from 
different Institutions are involved in this ambitious project. The related projects are I) Uncultured 
bacteria for the discovery of novel antimicrobials; II) Antibiotic dereplication by transcriptome 
analysis; III) Antimicrobial evaluation and development. The essential innovation of our 
proposed project is to use rapid dereplication by transcription profiling to identify attractive 
compounds harbored by uncultured bacteria. The objective of the Administrative core is 
To promote and facilitate the achievement of the goals of the Program Project. 
The Program Director will be responsible for the overall program and for overseeing the 
Administrative core. The major priority of the Program Director (PD/PI) is to promote the 
progress and success of the three research projects and thereby the success of the Program 
Project. His efforts will be augmented by a Program Advisory Committee and by the 
Administrative Core Manager. The Administrative Core Manager will coordinate the day-to-day 
interactions among the PIs and personnel of the three interrelated projects. The Manager will 
work with the PD/PI, component project PIs and Executive Committee and the Program 
Advisory Committee to assist with the scientific, administrative and fiscal oversight. 
The Manager will facilitate communications throughout the Program, and arrange group 
meetings and teleconferences for members of the project and for meetings of the Program 
Advisory Committee. The Manager will handle the administrative details of the Program and, 
interactions with the NIAID and assist in the preparation of regular reports to the NIAID. The 
Manager will provide the PD/PI with regular reports on the financial status of each project and 
organize annual meetings of the Project Leaders to review and make adjustments to project 
budgets. The Core Manager will work with an IT expert to create and maintain a Program 
website. The website will enable project participants to collect, store and analyze their data from 
all of the projects of the center; the website will also serve to disseminate information on the 
Program.",National Institutes of Health - SubAward,NIH|abstract|noise,Biomedical Sciences
1095800,Core B: Research Translation Core,"PROJECT SUMMARY 
The Puerto Rico Testsite for Exploring Contamination Threats Center (PROTECT) uses an integrated, cross- 
disciplinary approach to study the fate, transport, exposure, health impact and remediation of contaminants 
commonly found at Superfund sites, with particular attention to phthalates and chlorinated solvents as both are 
suspect and model agents in the high preterm birth rates in Puerto Rico. The Research Translation Core (RTC) 
serves the overall interests of PROTECT and NIEHS by translating and disseminating PROTECT research 
results to a wide variety of governmental agencies, scientific communities, industry, and other stakeholders. 
The RTC does this through five aims: 
 ¿ Aim 1: Publicize and emphasize to EPA, ATSDR, and other stakeholders the significance and/or 
 relevance of program findings for public policy, public health, and prevention 
 ¿ Aim 2: Build partnerships with stakeholders to respond to requests, develop capacity, and improve 
 understanding of Center findings 
 ¿ Aim 3: Serve as the bridge between investigators, partners and stakeholders to foster commercial 
 development, utilization and translation of the knowledge gained by the SRP program into tools, 
 strategies or technologies, in an efficient and timely manner 
 ¿ Aim 4: Collaborate with other PROTECT cores for enhanced sharing of information, materials and best 
 practices outside of PROTECT 
 ¿ Aim 5: Communicate PROTECT work to SRP Headquarters and to the national SRP community 
These aims are realized through activities that solidify internal communications within PROTECT, 
communications with other SRPs and the national office, and communication with a wide range of professional, 
governmental, public health, and community organizations. The RTC works with each project leader to develop 
translational activities, and it offers training sessions for faculty, postdocs, and students to facilitate research 
translation. The RTC develops mechanisms for technology transfer, such as patents, commercialization, and 
intellectual property. It facilitates consultations of expertise and new collaborations, particularly outside the 
SRP community. The RTC helps investigators to increase NIEHS and other grant submissions, thus expanding 
the environmental health capacity of the constituent campuses. It offers webinars and conferences to share 
findings and for communities to share experiences/needs with the university researchers, especially by 
collaborating with the Training Core and Community Engagement Core. The RTC has a strong website 
presence and is the central clearinghouse for collating and disseminating PROTECT results and materials. The 
RTC also develops publications that highlight the overall sum of PROTECT's research translation outcomes.",National Institutes of Health - SubAward,NIH|abstract|assigned,Biomedical Sciences
1106361,Project 5: Remediation of Contaminated Groundwater by Solar-Powered Electrolysis,"PROJECT SUMMARY 
Study Objectives: Our long-term goal is to develop novel, sustainable, solar-powered and environmentally- 
friendly technologies for remediation of contaminated groundwater, especially in karst regions. We will use 
solar panels to apply low direct electric currents through electrodes in wells to manipulate groundwater 
chemistry by electrolysis. Our target contaminants are chlorinated solvents, specifically trichloroethylene 
(TCE), but the process will also be designed to treat a mixture of contaminants. Two specific transformation 
mechanisms are evaluated: electrochemical reduction and chemical oxidation. Previously we demonstrated 
that chemically reducing groundwater could be developed by iron anodes, leading to almost complete 
dechlorination of aqueous TCE. We also evaluated chemical oxidation of TCE in groundwater by electro- 
generated H2 and O2. Our objectives in this competitive renewal study are to understand and improve the 
process using innovative electrode systems for transformation of mixtures of contaminants under variable flow 
rates, assess the transformation pathways and their associated effects on groundwater toxicity, and measure 
the performance of the process in field-scale testing. 
Study Approach: We will conduct laboratory experiments in vertical column setups made of acrylic and 
limestone and in electrochemical reactors. We will use the reactors to test innovative three-electrode treatment 
units to induce reducing or oxidizing conditions and investigate a novel two electrode system with polarity 
reversal to achieve oxidizing conditions. We will measure degradation and transformation products, as well as 
toxicity evolution, during the course of the process in batch electrochemical setups. In addition to a commonly 
used phenotypic in vitro assay, an innovative newly-developed fast and mechanistic toxicogenomics-based 
temporal gene or protein expression profiling technique will be employed. The variations of toxicity levels and 
mechanistic profiles during the course of the electrochemically-induced degradation will disclose the potential 
causal agents and their links to the degradation pathways. For these laboratory tests, groundwater collected 
from Puerto Rico will be mixed with target contaminants and used for testing. To facilitate translation of the 
process into field implementation, we will conduct and measure the performance in a small field-scale test 
using a single well or multiple wells. Treatment units in the wells will be connected to solar panels/controllers 
and different operation modes will be tested. Observation wells will be used to monitor changes. 
Expected Results: We will develop a technology for sustainable remediation of contaminated groundwater. 
We will design electrochemical reactors with innovative electrode systems for contaminant degradation and 
prove the reduction or elimination of toxicity during and after the treatment. Finally, we will design and measure 
the performance of the technology in wells in a small-scale field study in aquifers in karst regions.",National Institutes of Health - SubAward,NIH|abstract|noise,Environmental Science & Ecology
1108195,Project 5: Green Remediation by Solar Energy Conversion Into Electrolysis,"The US EPA supports the adoption of green remediation, which considers all environmental effects and 
incorporates strategies to maximize the net environmental benefit. Our long-term goal is to develop a green 
remediation based on conversion of solar energy into iron electrolysis in groundwater. Electrolysis of 
sacrificial iron anodes will cause chemical reduction of contaminants, including chlorinated solvents in 
groundwater. The kinetics of iron redox in a two-electrode electrolysis system and release of ferrous ions 
and hydrogen gas can be optimized by controlling the electric current density and polarity for effective 
transformation of contaminants. The process is suited for karstic groundwater aquifers because the dynamic 
flow conditions in channels and fractures require controlled rates of iron reactivity. The process will use solar 
energy and will not produce adverse effects on groundwater environment. The project will evaluate the effect 
of iron electrolysis on groundwater geochemistry, demonstrate the transformation of trichloroethylene (TCE) 
as a model nonpolar organic contaminant in groundwater by iron electrolysis under batch and flow 
conditions, evaluate the effects of polarity reversal and voltage/current intensity, develop a predictive tool 
""model"" for transformation, evaluate the effects on the physical properties of the aquifer, assess the 
cytotoxicity of treated water, and evaluate any adverse effects on the fate of other contaminants (e.g., semipolar 
organics such as phthalates). The project will conduct experiments in cells using karst aquifer 
characteristics, including experimental setups that are constructed of limestone blocks. The plan includes 2D 
lab pilot-scale testing using the GeoBed (developed in Project 4) and a small-scale field test. The primary 
experimental variables that will be controlled are the water flow rate, electric current/voltage and electrolyte 
type. The primary dependent variables that will be monitored are pH, ORP, Dissolved Oxygen, alkalinity, 
cation and anion concentrations, contaminant concentration, ferrous and ferric ion concentrations, 
precipitates, electrical conductivity, and voltage/current. A model that couples Faraday's law for iron 
electrolysis and reactive flow will be developed and verified. The project will assess power requirement and 
engineer a strategy that utilizes solar panels for field implementation.",National Institutes of Health - SubAward,NIH|abstract|assigned,Environmental Science & Ecology
1113526,Pilot-Project-Core,"RFA-NR-14-001
Narratives/Abstracts are only required for the Overall component. These items are not
applicable for the Admin Core, Pilot Project Core, and Other Core sections.",National Institutes of Health - SubAward,NIH|abstract|noise,unassigned
