grant_id,award_num,abstract,abstract_source,awardee_org,match_score,id_confidence
1171240,9501172,"9501172  Kaeli, David  This research is investigating the inherent performance problems associated with object-oriented code  execution.  Traces are being captured from a number of object-oriented programming environments.  A  workload characterization is being performed to identify the underlying problems presented by this new  programming model.  Architectural changes are then proposed to improve the execution performance of  object-oriented code.  This research is investigating architectural changes to the hardware that will improve  performance across all programming environments.  As more and more software is developed using object-  oriented languages, this research will have a direct impact on acceleration the performance of future  applications.    The educational part of this project is concerned with making improvements in the Computer Engineering  curriculum, student advising tools, classroom computer aids, and undergraduate research courses.",nsf_api,Northeastern University,100.0,exact
1171644,9702257,"This project joins two efforts:  The Tom's Creek Bridge Rehabilitation and Durability Field Site:  We will employ a unique opportunity to study composite material performance in a low risk field site.  The author has lead a successful effort to incorporate commercial composites box 1 beams in the Tom's Creek Bridge as  structural members.  Our ultimate objective is to provide an organizing structure in which to assimilate a methodology to define and predict composite performance in an actual infrastructure environment.  This approach will help address our present lack of practical understanding of composites durability in the infrastructure, even with the large sets of lab data that already exist.  This program will study the critical processes that influence composite.  Broadening our Definition of Underrepresented in Engineering and Science:  The object in this program is to bring disadvantaged/underrepresented youth to Virginia Tech for a summer of structured education/introduction to the engineering and science and research on the Tom's Creek Bridge test site.  The underrepresented youth in this case are not defined by sex or ethnic background, but selected from a group that can defined as `at-risk` due to economic status or an ineffectual environment.",nsf_api,Virginia Polytechnic Institute and State University,100.0,exact
1171799,9701998,"9701998  Barabasi  This is a CAREER award to a new faculty member and, as such,  involves both research and education.  The research  component is comprised of a study of the connection between  theory and experiment which aims for a coherent  understanding of the basic mechanisms and universality  classes determining the morphology of interfaces moving in  porous media.  The influence of disorder and fluctuations on  surface morphology will be investigated.  The research has  implications for oil recovery and environmental research.    The educational part of the award involves utilizing the  world wide web for improving graduate courses.  A  comprehensive database will be developed of instructional  materials available on the web.  Effective incorporation of  this material into the curriculum will result in a virtual  meta-course.  %%%  This is a CAREER award to a new faculty member and, as such,  involves both research and education.  The research  component is comprised of a study of the connection between  theory and experiment which aims for a coherent  understanding of the basic mechanisms and universality  classes determining the morphology of interfaces moving in  porous media.  The influence of disorder and fluctuations on  surface morphology will be investigated.  The research has  implications for oil recovery and environmental research.    The educational part of the award involves utilizing the  world wide web for improving graduate courses.  A  comprehensive database will be developed of instructional  materials available on the web.  Effective incorporation of  this material into the curriculum will result in a virtual  meta-course.  ***",nsf_api,University of Notre Dame,100.0,exact
1172215,9703384,"The  defining  characteristic  of  ubiquitous  computing  is  the  attempt  to  break away from the traditional desktop  interaction  paradigm  and move computational power into the environment  that  surrounds the user.  This award focuses on automating the capture  of  individual  and  group experiences, in  order  to  facilitate  access  to  a  richly integrated record of events: the  automated  capture, integration and access problem for ubiquitous computing.  The   natural  candidates  for  this  capture  are  collaborative  activities  such as meetings, education, and design.  This  award  will   initiate  a  large-scale  ubiquitous  computing  effort---  Classroom  2000---to access and support the rich  interaction  of  classroom  experience,  and  will  grow  to  support  and  assist  students  through  their educational careers  and  beyond.   Open  issues  include  effects of granularity of capture,  support  for  revision  during access, and how interactions among collaborators  affects   capture  and  integration.   Of  special  interest   is  determining  whether  and  how  ubiquitous  computing  technology  supports  note-taking practices that contribute to near-term  and  long-term educational goals.",nsf_api,Georgia Tech Research Corporation,100.0,exact
1172687,9702656,"At a time when our civil infrastructure systems are in dire need of renewal, efforts are being made to improve maintenance procedures and condition assessment practice.  This Career development plan addresses current issues related to infrastructure renewal.  The research work is integrated into a research and education program which revolves around topics related infrastructure renewal engineering.  As part of the research program, performance-based prediction models for bridge deterioration will be developed. The prediction models will track component and system parameters (such as component capacity and system load rating) as a function of time and will be based on the mixed quantitative and qualitative information obtained in the field.  By  using case histories developed for individual bridges and isolating parameters which relate specific causes to bridge deterioration it will be possible to generalize the models to a set of parameters which consider bridge type, use, and environmental conditions.  The prediction model will consider changes in structural performance due to deterioration and damage.",nsf_api,Northeastern University,100.0,exact
1171279,9733573,"This project aims to provide a foundation for applying machine learning in practice.  The research   component has two goals. Firstly, to develop data collection and refinement methods that allow machine   learning algorithm to extract structure from data.  Secondly, to perform empirical and theoretical analyses   of machine learning algorithms to develop a deeper understanding of current and new methods, and to   uncover the characteristics of datasets that make them amenable to particular learning algorithms. The   education component of this project aims to provide practitioners with the foundation required to apply   machine learning successfully in practice by providing a deeper understanding of the type of structure that   various learning algorithms can detect, by creating tools for collecting data, by giving students hands on   experience applying machine learning in practice, and through inter-disciplinary research projects.  These   research and education activities are being performed in the context of several application domains,   including mapping global land cover of the Earth from remotely sensed data, content-based image   retrieval of high resolution CAT scans of the lung, learning to detect anomalies for computer security, and   on-board processing of planetary data.  In addition to its contribution to applied machine learning, this   project has the benefit that the successful application of machine learning to proposed application domains   will result in non-trivial contributions to medicine, computer systems development, and geography.  http://mow.ecn.purdue.edu/ brodley/",nsf_api,Purdue Research Foundation,100.0,exact
1172169,9734054,"9734054  Isaacs   With the increasing importance of commercialization and liabilities of materials, attributes other than technical performance are becoming significant for characterizing the success and performance of materials: the manufacturing cost and the environmental consequences of using the material. The objectives of this interdisciplinary research project are to develop modeling tools that (1) aid in assessing the commercial potential and process economics of existing and developmental technologies, and (2) identify environmental life cycle effects. Working with industrial partners, the initial phase of the research concentrates on development of process-based technical cost models in the powder metallurgy industry, simulation of manufacturing costs and development of environmental metrics. Analyses will be performed to identify economic and technical parameters that are necessary for successful implementation of advanced materials. In later phases of the project, analyses will be extended to more advanced powder processing of materials, such as magnetic, ceramic and composite materials.  Results from this work are expected to provide critical information about performance, economic and environmental tradeoffs that influence the implementation and competitive positions of alternative manufacturing technologies. Students working on this collaborative project will synthesize a relevant, meaningful manufacturing experience by participation in the graduate cooperative education program with the industrial partners. Research results will also be used to develop case-based interactive courses that raise the environmental literacy of undergraduate and graduate engineering students.   The ultimate goal of this research plan is to develop a sustainable and balanced effort among interdisciplinary education, case-based research and industrial co-op experience. The nature of this research encourages technology transfer, strengthens the knowledge-base of all participants in the partnership, and im pacts societal needs by aiding in assessment of economically viable, environmentally beneficial solutions to technological problems.",nsf_api,Northeastern University,100.0,exact
1171382,9983901,"CAREER: Algorithms for Organizing and Scheduling Distributed Resources

This project encompasses several basic algorithmic problems concerning the organization and scheduling of shared resources in distributed environments.  Over the course of this project, problems applying to a number of different environments will be studied, including wide-area networks, asymmetric communication channels, broadcast media, and wireless networks.  
An important component of this project is the study of replication, which is an effective paradigm in the design of high-performance scalable information systems.  Two major goals of this project are (i) the design of a provably efficient algorithm for coordinated placement of replicated objects, and (ii) the design of a distributed service for directing access requests to appropriately chosen servers.
Once an access request is assigned to a server, the end-to-end performance observed by the request critically depends on the scheduling policy of the server and the allocation of network resources for the delivery of data from the server to the client.  This project also explores competitive online algorithms for server scheduling in unicast and broadcast environments, and the approximability of certain NP-hard optimization problems arising in unicast and multicast routing.
The final research component of this project focuses on two important aspects related to resource management in wireless networks: contention and mobility.  Contention resolution protocols for uplink scheduling in cellular networks and the design of basic control structures in mobile ad-hoc networks will be studied.
The integrated educational goals of this project include (i) experimental projects in cooperative caching and distributed directory services that will provide research experience for undergraduate students, (ii) the development of a new undergraduate course on the organization, representation, maintenance, and retrieval of data in diverse computing models, and (iii) the development of an advanced graduate course on algorithmic issues in mobile computing.",nsf_api,Northeastern University,100.0,exact
330286,0093752,"This action is taken within the NSF Faculty Early Career Development (CAREER) Program NSF 00-89, to support a research/education career plan in geoenvironmental engineering, with emphasis on innovative soil remediation.  The research component investigates the use of electroosmosis for transport of oxygen (produced by electrolysis) into fine-grained soils in order to stimulate in situ bioremediation of trapped organic contaminants.  The educational component integrates the technical tasks of the project into the broader aspects of teaching in geoenvironmental engineering so as to reach students at different levels.

Oxygen delivery is generally the limiting factor for in situ bioremediation due to low soil permeabilities and preferential flow paths.  The use of electric currents is being investigated to overcome oxygen injection problems.  Application of a direct current (dc) results in controlled oxygen production by water electrolysis at the anode.  Electroosmotic flow then delivers oxygenated water into contaminated silt and clay layers to stimulate bioremediation of trapped organic contaminants.  This process is complex and involves as-yet-undetermined hydrogeological, electrochemical and biogeochemical interactions, such as microbial behavior under electric fields.  The research focuses on (a) rates of oxygen production and transport in fine-grained soils by dc electric fields, (b) impact of electric fields on microbial growth and transport in porous media, (c) stimulating in situ degradation of organic contaminants in fine-grained soils by electrochemical production/transport of oxygen, and (d) enhancing degradation in heterogeneous soils.

The goal of the education component is to incorporate the findings of this project in a new undergraduate geoenvironmental engineering course being developed by the Principal Investigator.  Undergraduate students will participate in the research through the Northeastern University Cooperative (Co-op) education program.  The PI will also reach out to high school students by developing an educational CD-ROM that will (a) demonstrate the link between the basic sciences and engineering applications (geotechnical and environmental engineering in particular) and (b) attempt to promote civil and environmental engineering as exciting fields of study and practice.  The PI will also partner with CONNECTIONS, a NSF funded project that is designed to help women transition into careers in science, engineering, and math (SEM).  The PI will provide opportunities for high school girls, girl scouts and undergraduate women, sponsored by CONNECTIONS, to learn about geotechnical and environmental engineering, evaluate the educational CD-ROM, and participate in the research and educational tasks of this project.  Graduate students will participate in the research and gain an excellent experience in cutting-edge, practice-oriented geoenvironmental research.  A final goal is to further the PI's development as an educator by adopting innovative teaching and assessment techniques.  A WEB site will be developed and continuously updated to present the research and educational components of this project.",nsf_api,Northeastern University,100.0,padded_low
332075,0096543,"This research will investigate the generation of perceptually controlled behavior in biological and artificial systems.  Its focus is to understand intralimb coordination that consists of both discrete and rhythmic elements, such as in drawing or handwriting.  The hypothesis underlying the work is that unconstrained multijoint movements can be understood in terms of two fundamental units of action, discrete movements and rhythmic movements.  This ""D-R"" hypothesis is partially motivated by the fact that, from the perspective of dynamical systems theory, fixed-point and limit cycle dynamics are two primary stable regimes in a complex dynamic system.  The research will involve the development of a dynamical model for multijoint movements, consisting of two separate pattern generators that produce rhythmic and discrete movement trajectories.  A series of experimental studies will investigate this ""D-R"" hypothesis in three stages.  First, the basic hypothesis that two regimes exist and that they interact will be tested in experiments examining controlled single-joint and two-joint movements that involve both rhythmic and discrete elements.  Second, a subset of the same movement tasks will be examined, with additional recording of cerebral blood flow using functional magnetic resonance imaging.  The ""D-R"" hypothesis expects that rhythmic and discrete movements will exhibit different brain activation patterns, and the research will test their interaction.  Third, complex unconstrained arm movements will be studied in a three-dimensional drawing task.  The behavioral experiments will conclude by testing the modeling propositions in the complex perceptual-motor skill of rhythmically bouncing a ball.  Complementing the experiments, the model equations will be implemented on an anthropomorphic robot arm with seven degrees of freedom, in order to synthesize movements on the basis of the proposed organizational dynamics.

This research is fundamental to understanding how humans perform their everyday activities, the vast majority of which involve coordination of multijoint movements with perceptual information.  In addition, from the standpoint of complex system theory, the investigation of the human body and its central nervous system, among the most complex of systems, is extremely useful to the goal of understanding the fundamental organizational properties of complex systems.  Furthermore, obtaining a deeper understanding of what could be elementary units in the control of perceptuomotor tasks has the potential to advance knowledge for diagnosis and treatment of movement disorders, as well as to advance methods of training and rehabilitation.  In addition, the work on the anthropomorphic robot is ideally suited for studying control principles that can be used for the development of new technologies concerning general purpose autonomous movement systems, limb prostheses, and, in the long run, techniques for functional stimulation in patients.  The planned combination of fMRI experiments and behavioral experiments will also contribute to bridging psychological and neurobiological disciplines.",nsf_api,Pennsylvania State Univ University Park,100.0,padded_low
